category,language,mother_tongue,most_at_home,most_at_work,lang_known
Non-Official & Non-Aboriginal languages,"Dravidian languages, n.i.e.",45,15,0,65
Non-Official & Non-Aboriginal languages,Dutch,7455,690,70,9200
Non-Official & Non-Aboriginal languages,Edo,80,15,0,120
Official languages,English,1316635,1622735,1330555,2289515
Non-Official & Non-Aboriginal languages,Estonian,455,75,0,495
Non-Official & Non-Aboriginal languages,Ewe,60,15,0,115
Non-Official & Non-Aboriginal languages,Fijian,390,100,0,985
Non-Official & Non-Aboriginal languages,Finnish,1900,430,20,2090
Official languages,French,25005,8630,3245,172260
Non-Official & Non-Aboriginal languages,Frisian,80,5,0,125
Non-Official & Non-Aboriginal languages,"Fulah (Pular, Pulaar, Fulfulde)",15,0,0,50
Non-Official & Non-Aboriginal languages,Ga,30,0,0,90
Non-Official & Non-Aboriginal languages,Ganda,65,5,0,110
Non-Official & Non-Aboriginal languages,Georgian,65,15,0,90
Non-Official & Non-Aboriginal languages,German,24060,2895,210,38660
Non-Official & Non-Aboriginal languages,"Germanic languages, n.i.e.",30,5,0,75
Aboriginal languages,Gitxsan (Gitksan),50,10,0,50
Non-Official & Non-Aboriginal languages,Greek,4880,1730,60,7230
Non-Official & Non-Aboriginal languages,Gujarati,6285,2740,40,10685
Aboriginal languages,Gwich'in,10,0,0,0
Aboriginal languages,Haida,10,5,0,60
Aboriginal languages,Haisla,10,0,0,30
Non-Official & Non-Aboriginal languages,Haitian Creole,20,0,0,55
Non-Official & Non-Aboriginal languages,Hakka,2185,670,10,2555
Aboriginal languages,Halkomelem,40,5,0,150
Non-Official & Non-Aboriginal languages,Harari,20,10,0,55
Non-Official & Non-Aboriginal languages,Hebrew,1770,785,75,4585
Aboriginal languages,Heiltsuk,15,0,0,15
Non-Official & Non-Aboriginal languages,Hiligaynon,1280,360,10,1370
Non-Official & Non-Aboriginal languages,Hindi,24220,11235,265,70500
Non-Official & Non-Aboriginal languages,Hmong-Mien languages,130,55,0,155
Non-Official & Non-Aboriginal languages,Hungarian,5285,1470,15,6480
Non-Official & Non-Aboriginal languages,Icelandic,155,50,0,215
Non-Official & Non-Aboriginal languages,Igbo,155,35,0,235
Non-Official & Non-Aboriginal languages,Ilocano,4605,1465,30,5670
Non-Official & Non-Aboriginal languages,"Indo-Iranian languages, n.i.e.",340,175,0,755
Aboriginal languages,Inuinnaqtun (Inuvialuktun),0,0,0,10
Aboriginal languages,"Inuit languages, n.i.e.",5,0,0,10
Aboriginal languages,Inuktitut,15,0,0,45
Aboriginal languages,"Iroquoian languages, n.i.e.",0,0,0,0
Non-Official & Non-Aboriginal languages,Italian,15445,3950,85,25610
Non-Official & Non-Aboriginal languages,"Italic (Romance) languages, n.i.e.",60,10,0,215
Non-Official & Non-Aboriginal languages,Japanese,16900,8230,1545,28630
Non-Official & Non-Aboriginal languages,Kabyle,35,20,0,60
Non-Official & Non-Aboriginal languages,Kannada,225,95,0,445
Non-Official & Non-Aboriginal languages,Karenic languages,765,690,40,905
Non-Official & Non-Aboriginal languages,Kashmiri,45,5,0,45
Aboriginal languages,Kaska (Nahani),0,0,0,10
Non-Official & Non-Aboriginal languages,Khmer (Cambodian),1210,620,20,1440
Non-Official & Non-Aboriginal languages,Kinyarwanda (Rwanda),105,45,0,210
Non-Official & Non-Aboriginal languages,Konkani,225,40,0,370
Non-Official & Non-Aboriginal languages,Korean,45990,34225,5075,50640
Non-Official & Non-Aboriginal languages,Kurdish,1655,1020,25,2070
Aboriginal languages,Kutenai,5,0,0,0
Aboriginal languages,Kwakiutl (Kwak'wala),15,5,0,40
Non-Official & Non-Aboriginal languages,Lao,800,330,0,1125
Non-Official & Non-Aboriginal languages,Latvian,320,70,0,315
Aboriginal languages,Lillooet,10,5,0,20
Non-Official & Non-Aboriginal languages,Lingala,55,35,0,240
Non-Official & Non-Aboriginal languages,Lithuanian,330,90,10,325
Non-Official & Non-Aboriginal languages,Macedonian,250,120,0,340
Non-Official & Non-Aboriginal languages,Malagasy,15,5,0,0
Non-Official & Non-Aboriginal languages,Malay,3480,1050,55,6435
Non-Official & Non-Aboriginal languages,Malayalam,1750,890,0,2585
Aboriginal languages,Malecite,0,0,0,0
Non-Official & Non-Aboriginal languages,Maltese,80,5,0,165
Non-Official & Non-Aboriginal languages,Mandarin,174920,138680,23195,250175
Non-Official & Non-Aboriginal languages,Marathi,535,245,0,1275
Aboriginal languages,Mi'kmaq,5,0,0,15
Aboriginal languages,Michif,10,5,0,35
Non-Official & Non-Aboriginal languages,Min Dong,220,65,0,125
Non-Official & Non-Aboriginal languages,"Min Nan (Chaochow, Teochow, Fukien, Taiwanese)",10655,4645,210,15660
Aboriginal languages,Mohawk,5,0,0,10
Non-Official & Non-Aboriginal languages,Mongolian,345,160,10,320
Aboriginal languages,Montagnais (Innu),0,0,0,0
Aboriginal languages,Moose Cree,0,0,0,0
Aboriginal languages,Naskapi,0,0,0,0
Non-Official & Non-Aboriginal languages,Nepali,915,555,20,1185
Non-Official & Non-Aboriginal languages,"Niger-Congo languages, n.i.e.",610,150,0,1325
Non-Official & Non-Aboriginal languages,"Nilo-Saharan languages, n.i.e.",185,65,0,255
Aboriginal languages,Nisga'a,30,10,0,70
Aboriginal languages,North Slavey (Hare),0,0,0,0
Aboriginal languages,Northern East Cree,0,0,0,0
Aboriginal languages,Northern Tutchone,0,0,0,0
Non-Official & Non-Aboriginal languages,Norwegian,840,70,15,1405
Aboriginal languages,Nuu-chah-nulth (Nootka),10,0,0,15
Aboriginal languages,Oji-Cree,5,0,0,0
Aboriginal languages,Ojibway,60,5,0,120
Aboriginal languages,Okanagan,5,0,0,35
Aboriginal languages,Oneida,0,0,0,0
Non-Official & Non-Aboriginal languages,Oriya (Odia),65,30,0,70
Non-Official & Non-Aboriginal languages,Oromo,170,75,0,195
Non-Official & Non-Aboriginal languages,"Other languages, n.i.e.",365,110,25,700
Aboriginal languages,Ottawa (Odawa),0,0,0,0
Non-Official & Non-Aboriginal languages,"Pampangan (Kapampangan, Pampango)",630,140,0,775
Non-Official & Non-Aboriginal languages,Pangasinan,265,55,0,440
Non-Official & Non-Aboriginal languages,Pashto,1070,660,0,1540
Non-Official & Non-Aboriginal languages,Persian (Farsi),41260,27355,1045,47155
Aboriginal languages,Plains Cree,40,0,0,90
Non-Official & Non-Aboriginal languages,Polish,12040,4485,95,13815
Non-Official & Non-Aboriginal languages,Portuguese,11950,5115,495,15675
Non-Official & Non-Aboriginal languages,Punjabi (Panjabi),151205,104855,13125,187530
Non-Official & Non-Aboriginal languages,Quebec Sign Language,0,0,0,10
Non-Official & Non-Aboriginal languages,Romanian,7170,3215,65,8265
Non-Official & Non-Aboriginal languages,Rundi (Kirundi),100,55,0,105
Non-Official & Non-Aboriginal languages,Russian,18175,10795,435,24000
Aboriginal languages,"Salish languages, n.i.e.",40,0,0,65
Aboriginal languages,Sarsi (Sarcee),5,0,0,0
Non-Official & Non-Aboriginal languages,Scottish Gaelic,125,15,0,345
Aboriginal languages,Sekani,5,0,0,10
Non-Official & Non-Aboriginal languages,"Semitic languages, n.i.e.",135,85,0,285
Non-Official & Non-Aboriginal languages,Serbian,6300,3470,85,8010
Non-Official & Non-Aboriginal languages,Serbo-Croatian,1145,435,0,1240
Non-Official & Non-Aboriginal languages,Shona,150,40,0,265
Aboriginal languages,Shuswap (Secwepemctsin),10,5,0,10
Non-Official & Non-Aboriginal languages,"Sign languages, n.i.e",355,530,35,1565
Non-Official & Non-Aboriginal languages,Sindhi,1575,595,10,3135
Non-Official & Non-Aboriginal languages,Sinhala (Sinhalese),1460,595,0,2140
Aboriginal languages,"Siouan languages, n.i.e.",5,0,0,15
Aboriginal languages,"Slavey, n.o.s.",5,0,0,0
Non-Official & Non-Aboriginal languages,"Slavic languages, n.i.e.",175,30,0,245
Non-Official & Non-Aboriginal languages,Slovak,2390,780,10,3060
Non-Official & Non-Aboriginal languages,Slovene (Slovenian),545,60,0,725
Non-Official & Non-Aboriginal languages,Somali,1175,610,10,1675
Aboriginal languages,South Slavey,0,0,0,0
Aboriginal languages,Southern East Cree,0,0,0,0
Aboriginal languages,Southern Tutchone,0,0,0,0
Non-Official & Non-Aboriginal languages,Spanish,36625,18310,1040,75105
Aboriginal languages,Squamish,20,5,0,225
Aboriginal languages,Stoney,0,0,0,0
Aboriginal languages,Straits,0,0,0,0
Non-Official & Non-Aboriginal languages,Swahili,585,155,0,2655
Aboriginal languages,Swampy Cree,15,0,0,20
Non-Official & Non-Aboriginal languages,Swedish,1290,220,30,2765
Non-Official & Non-Aboriginal languages,"Tagalog (Pilipino, Filipino)",66825,30695,635,96290
Aboriginal languages,Tahltan,0,0,0,10
Non-Official & Non-Aboriginal languages,"Tai-Kadai languages, n.i.e",15,5,0,10
Non-Official & Non-Aboriginal languages,Tamil,3275,1930,30,4860
Non-Official & Non-Aboriginal languages,Telugu,920,425,0,1430
Non-Official & Non-Aboriginal languages,Thai,1930,670,100,2870
Aboriginal languages,Thompson (Ntlakapamux),15,0,0,25
Non-Official & Non-Aboriginal languages,Tibetan,265,165,10,305
Non-Official & Non-Aboriginal languages,"Tibeto-Burman languages, n.i.e.",220,90,0,295
Non-Official & Non-Aboriginal languages,Tigrigna,695,355,0,935
Aboriginal languages,Tlingit,0,0,0,0
Aboriginal languages,Tsimshian,25,0,0,65
Non-Official & Non-Aboriginal languages,"Turkic languages, n.i.e.",170,40,0,225
Non-Official & Non-Aboriginal languages,Turkish,2770,1190,35,4875
Non-Official & Non-Aboriginal languages,Ukrainian,3990,1010,20,5960
Non-Official & Non-Aboriginal languages,"Uralic languages, n.i.e.",0,0,0,0
Non-Official & Non-Aboriginal languages,Urdu,8875,5170,40,14615
Non-Official & Non-Aboriginal languages,Uyghur,170,100,10,105
Non-Official & Non-Aboriginal languages,Uzbek,100,40,0,170
Non-Official & Non-Aboriginal languages,Vietnamese,22955,14365,1985,29015
Non-Official & Non-Aboriginal languages,Vlaams (Flemish),195,15,0,225
Aboriginal languages,"Wakashan languages, n.i.e.",0,0,0,0
Non-Official & Non-Aboriginal languages,Waray-Waray,180,60,0,275
Non-Official & Non-Aboriginal languages,Welsh,120,20,0,140
Non-Official & Non-Aboriginal languages,Wolof,30,5,0,25
Aboriginal languages,Woods Cree,20,5,0,15
Non-Official & Non-Aboriginal languages,Wu (Shanghainese),4330,2495,45,5385
Non-Official & Non-Aboriginal languages,Yiddish,220,10,0,385
Non-Official & Non-Aboriginal languages,Yoruba,190,40,0,505
